cust_no,shouxin_date,if_t4,if_t1,fpd4,fpd1,score_chal,score_add,score_orig,score_bc1,score_bc2,v3_newfeat30_score,xgb_lr_score
160056798598,2020-06-29,0,0,,,0.3648395891888998,0.026858011,1.9525450528466521,0.026325148,0.014390423,,0.019749530719236564
160056874408,2020-07-01,0,0,,,0.32164875032377,0.019197598,0.9528409375561423,0.04628051,0.015378108,,0.01372940879837151
160057183985,2020-07-06,0,0,,,0.2685207982949179,0.04786201,1.1482977622258244,0.0426313,0.022063578,,0.09411358015607496
160057388467,2020-07-10,1,1,0.0,0.0,0.23609114151060728,0.018081713,-0.10748477721523561,0.01784532,0.016195394,,0.019369361922056197
160057406585,2020-07-10,1,1,0.0,0.0,0.3317945784064286,0.02164776,0.43386374240183456,0.022800053,0.017489849,,0.016357539003636127
160057854333,2020-07-19,1,1,0.0,0.0,0.3588310023021349,0.017801346,2.045400270026906,0.016252749,0.0094046965,0.06654832,0.030410086491789657
160058156438,2020-07-23,0,0,,,0.23439425427549704,0.007872981,-0.14618284204808477,0.02654739,0.008342525,0.022002757,0.013930533363529372
160058312939,2020-07-26,0,0,,,0.290251793453966,0.048471212,2.1583699780101626,0.09646331,0.032463383,0.019068748,0.044448391125773284
160058916031,2020-08-06,1,1,0.0,0.0,0.26098492166274223,0.014296886,0.14291085282472094,0.057518736,0.027425846,0.0141642345,0.0230840397154897
160059279465,2020-08-12,1,1,0.0,0.0,0.38969827761898246,0.053759996,2.589368375981377,0.016452814,0.012494147,0.034748193,0.11051765109689753
160059496311,2020-08-16,0,0,,,0.2674444651459267,0.010209902,0.18367573421776862,0.021021787,0.014322819,0.06393729,0.04963789651865508
160059527824,2020-08-17,1,1,0.0,0.0,0.25760099869910336,0.059650406,1.0625883239052918,0.03356851,0.018192766,0.044036705,0.04159759903105524
160059743755,2020-08-21,1,1,0.0,0.0,0.20497119047883772,0.012432102,-0.5531896830219806,0.043136004,0.021063415,0.020479113,0.019167508025819725
160059890803,2020-08-28,0,0,,,0.398200328044093,0.015872935,1.4038200354363148,0.027236462,0.017129593,0.16283555,0.06907404133907975
160060030373,2020-08-27,0,0,,,0.2801703879344637,0.062028505,3.4399551738046084,0.010868622,0.010029882,0.09689210000000001,0.2272680059260341
160060386340,2020-09-03,0,0,,,0.23035238693422982,0.010972288,0.22445845076292686,0.021535449,0.011609672,0.053575613,0.03414173282181699
160060829206,2020-09-10,0,0,,,0.2372635171648517,0.006286133,-0.7786184170406906,0.018053789,0.021854546,0.015135767,0.00504040477846678
160060901175,2020-09-13,1,1,0.0,0.0,0.3803025202709274,0.020923346,0.5935288763136942,0.056248747,0.02493077,0.05931296,0.04991414514413516
160060974990,2020-09-13,0,0,,,0.24242846059358641,0.02871483,0.45876516010267776,0.042810507,0.021605508,0.015204935,0.01797392955946251
160061428127,2020-09-22,1,1,0.0,1.0,0.232019314849594,0.01756373,0.07104866052038769,0.034319315,0.018334363,0.099569626,0.06515372829606918
160061686322,2020-09-27,0,0,,,0.2658629124205333,0.027582813,0.7751533739906658,0.10991227,0.043628834,0.03945004,0.040908779952771514
160061964999,2020-10-04,1,1,0.0,0.0,0.3399213481413407,0.030621154,1.5324761615902065,0.039149925,0.015982592,0.03385681,0.034661557058627564
160062546482,2020-10-15,1,1,0.0,0.0,0.42345173679141707,0.03165914,2.590365687562016,0.018864056,0.019179985,0.090750046,0.0877978830285408
160062807491,2020-10-19,0,1,,0.0,0.26817671451535663,0.03420322,1.420916377846231,0.06881396,0.016539179,0.06880727,0.0402934431710591
160062826213,2020-10-19,0,1,,0.0,0.22261982239682285,0.005567688,-0.5986259445877132,0.06881396,0.016539179,0.016686603,0.008896588732005608
160062891012,2020-10-20,0,0,,,0.32476920975215895,0.07662241,3.3793358046023596,0.06881396,0.016539179,0.051612873,0.05735218107751248
160063211089,2020-10-24,0,0,,,0.2785904140138105,0.023707641,0.6434299921432352,0.06881396,0.016539179,0.044938773,0.08976917083897465
160063331055,2020-10-26,0,0,,,0.20708870470768134,0.013366859,0.10808283287609638,0.06881396,0.016539179,0.016874444,0.013367224139123664
160063496608,2020-10-28,0,0,,,0.29739754484045267,0.047398113,1.0575495708197427,0.06881396,0.016539179,0.024461873,0.047685288626266586
160064320481,2020-11-10,0,0,,,0.2637550464900953,0.018899053,0.47923193044199597,0.06881396,0.016539179,,0.014764227426048418
160064377065,2020-11-11,0,0,,,0.33431736558070624,0.021586008,0.23031750968889436,0.06881396,0.016539179,,0.014385282097681109
160064547179,2020-11-14,0,0,,,0.27583034346853386,0.027473252,0.702188519201151,0.06881396,0.016539179,,0.03083022749412188
160017056283,2020-03-15,1,1,0.0,0.0,0.1876439860732955,0.017961862,0.31879269360512497,0.06881396,0.016539179,,0.01012701206251057
160021990726,2020-03-10,0,0,,,0.2647509349059219,0.022482587,0.5826879710730241,0.06881396,0.016539179,,0.02233636805879437
160030884670,2020-07-14,1,1,0.0,0.0,0.23713410819597802,0.014220855,0.7927929293036565,0.04819225,0.018054148,,0.013375187611861369
160037282581,2020-10-11,0,0,,,0.2326194375315957,0.008885731,-0.2849865446693739,0.06881396,0.016539179,0.01921278,0.020049821240045628
160049206725,2020-09-27,1,1,0.0,0.0,0.22919755440693082,0.014570394,1.0150800005712441,0.03805125,0.024479523,0.019547653999999998,0.01529327215866264
